unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
PC_HH,BG33	85.39 	85.23 	77.70 	74.02 	73.89 	68.69 	67.34 	56.48 	56.16 	51.54 	47.89 	36.27 	25.78 	26.84 	24.87 	: 	: 
PC_HH,BG34	84.92 	81.73 	77.24 	74.73 	69.97 	62.12 	60.85 	58.64 	52.30 	46.54 	49.64 	42.44 	33.27 	26.81 	21.16 	: 	: 
PC_HH,BG4	89.77 	85.97 	83.34 	76.84 	74.67 	70.48 	64.91 	63.48 	60.29 	59.85 	55.84 	51.17 	37.76 	34.21 	30.16 	: 	: 
PC_HH,BG41	90.48 	86.23 	85.86 	77.80 	75.27 	70.51 	64.89 	67.75 	63.68 	64.28 	59.31 	57.35 	43.65 	40.32 	36.09 	: 	: 
PC_HH,BG42	88.61 	85.53 	79.19 	75.27 	73.70 	70.42 	64.94 	56.59 	54.83 	52.68 	50.25 	41.69 	29.48 	25.60 	21.83 	: 	: 
PC_HH,CH	: 	98.67 	: 	95.51 	: 	93.06 b	: 	: 	90.63 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH0	: 	98.67 	: 	95.51 	: 	93.06 b	: 	: 	90.63 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH01	: 	99.07 	: 	96.48 	: 	90.99 b	: 	: 	90.76 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH02	: 	97.52 	: 	92.81 	: 	93.89 b	: 	: 	85.22 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH03	: 	97.92 	: 	96.76 	: 	94.62 b	: 	: 	91.68 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH04	: 	99.63 	: 	95.75 	: 	94.08 b	: 	: 	95.23 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH05	: 	99.24 	: 	97.26 	: 	93.74 b	: 	: 	92.41 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH06	: 	99.02 	: 	96.41 	: 	93.50 b	: 	: 	93.35 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CH07	: 	98.66 	: 	92.47 	: 	85.70 b	: 	: 	85.03 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,CY	94.00 	93.41 	92.78 	89.61 	86.17 	79.41 	74.35 	71.21 	68.64 	64.71 	61.82 	57.35 	53.71 	52.76 	42.92 	38.90 	36.67 
PC_HH,CY0	94.00 	93.41 	92.78 	89.61 	86.17 	79.41 	74.35 	71.21 	68.64 	64.71 	61.82 	57.35 	53.71 	52.76 	42.92 	: 	: 
PC_HH,CY00	94.00 	93.41 	92.78 	89.61 	86.17 	79.41 	74.35 	71.21 	68.64 	64.71 	61.82 	57.35 	53.71 	52.76 	42.92 	: 	: 
PC_HH,CZ	91.48 	89.31 	88.02 	87.00 	86.36 	83.24 	81.65 	78.98 	77.99 	72.62 	72.55 	66.63 	60.52 	54.18 	45.86 	35.12 	29.25 
PC_HH,CZ0	91.48 	89.31 	88.02 	87.00 	86.36 	83.24 	81.65 	78.98 	77.99 	72.62 	72.55 	66.63 	60.52 	54.18 	: 	: 	: 
PC_HH,CZ01	96.30 	94.16 	94.74 	93.23 	93.17 	89.31 	90.68 	88.47 	87.99 	80.30 	80.67 	70.45 	68.53 	: 	61.87 	50.79 	: 
PC_HH,CZ02	92.38 	89.31 	87.79 	87.86 	86.66 	86.68 	85.21 	82.61 	81.16 	78.91 	74.10 	68.20 	62.73 	: 	47.83 	35.15 	: 
