unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
PC_HH,FRI2	86.86 	87.40 	: 	90.43 	74.36 	81.50 	80.54 	77.99 	79.46 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRI3	94.63 	92.82 	: 	91.94 	87.73 	79.74 	84.70 	79.96 	84.12 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRJ	90.44 	92.62 	: 	88.32 	89.38 	86.12 	85.76 	80.66 	84.76 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRJ1	92.61 	94.29 	: 	87.73 	89.89 	84.33 	81.68 	77.24 	85.91 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRJ2	88.70 	90.94 	: 	88.88 	88.90 	87.79 	89.86 	83.80 	83.66 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRK	93.66 	93.61 	: 	91.23 	88.22 	88.34 	87.16 	83.54 	83.06 	81.25 	79.99 	71.14 	72.05 	67.34 	59.05 	: 	: 
PC_HH,FRK1	91.69 	91.39 	: 	86.04 	88.72 	86.60 	87.25 	75.66 	81.05 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRK2	94.10 	94.05 	: 	92.31 	88.11 	88.73 	87.14 	85.24 	83.47 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRL	93.30 	93.70 	: 	89.27 	89.19 	89.24 	86.04 	84.03 	80.38 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRL0	93.30 	93.70 	: 	89.27 	89.19 	89.24 	86.04 	84.03 	80.38 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRM	89.42 	86.51 u	: 	89.64 u	90.00 u	69.91 u	75.81 u	58.45 u	73.20 u	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRM0	89.42 	86.51 u	: 	89.64 u	90.00 u	69.91 u	75.81 u	58.45 u	73.20 u	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRY	86.07 	89.10 	: 	78.62 	74.14 	70.60 	72.20 	70.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRY1	89.98 	83.09 	: 	77.25 	65.74 	75.05 	70.97 	69.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRY2	84.10 	89.60 	: 	84.33 	76.31 	74.72 	74.94 	67.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRY3	80.52 	86.72 	: 	85.22 	64.29 	73.75 	56.94 	72.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRY4	86.83 	92.27 	: 	75.11 	80.50 	65.40 	74.91 	72.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,HR	85.52 	86.09 	85.00 	80.52 	81.52 	76.45 	77.34 	76.71 	68.37 	64.58 	66.41 	61.41 	56.50 	50.04 	45.26 	40.59 	: 
PC_HH,HR0	85.52 	86.09 	85.00 	80.52 	81.52 	76.45 	77.34 	76.71 	68.37 	64.58 	66.41 	61.41 	56.50 	50.04 	45.26 	: 	: 
PC_HH,HR03	85.32 	87.38 	88.28 	83.84 	83.76 	73.49 	77.83 	81.40 	71.86 	64.69 	66.42 	62.92 	58.55 	52.29 	48.61 	: 	: 
PC_HH,HR04	: 	: 	83.36 	78.81 	80.42 	77.89 	77.10 	74.46 	66.66 	64.52 	66.41 	60.69 	55.52 	48.95 	43.66 	: 	: 
PC_HH,HU	91.44 	90.78 	87.63 	86.20 	83.31 	82.35 	79.18 	75.64 	73.06 	69.66 	66.81 	63.22 	58.41 	53.42 	46.63 	37.72 	31.65 
PC_HH,HU1	95.17 	94.80 	91.43 	90.81 	89.04 	88.99 	86.45 	83.47 	80.63 	78.24 	76.06 	73.02 	68.55 	: 	54.90 	: 	: 
PC_HH,HU10	: 	: 	: 	: 	: 	88.99 	86.45 	83.47 	80.63 	78.24 	76.06 	73.02 	68.55 	: 	54.90 	: 	: 
PC_HH,HU11	95.62 	95.62 	94.21 	92.11 	89.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,HU12	94.52 	93.62 	87.21 	88.80 	87.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,HU2	92.45 	91.12 	88.06 	86.29 	84.30 	83.27 	80.16 	77.16 	74.30 	69.20 	66.27 	61.89 	56.65 	: 	46.27 	: 	: 
PC_HH,HU21	94.68 	92.10 	91.27 	87.95 	86.59 	85.30 	80.82 	78.20 	75.42 	71.06 	69.84 	64.77 	59.94 	: 	49.93 	: 	: 
PC_HH,HU22	91.99 	91.89 	85.84 	85.46 	84.52 	83.43 	82.55 	79.48 	76.16 	70.69 	67.42 	63.92 	58.15 	: 	47.61 	: 	: 
PC_HH,HU23	90.30 	89.03 	86.68 	85.21 	81.34 	80.72 	76.78 	73.50 	71.09 	65.46 	60.92 	56.44 	51.37 	: 	40.74 	: 	: 
PC_HH,HU3	87.45 	87.07 	84.10 	82.25 	77.78 	76.19 	72.54 	68.23 	66.11 	63.24 	59.94 	56.62 	51.94 	: 	40.70 	: 	: 
PC_HH,HU31	86.91 	86.26 	83.76 	81.61 	77.97 	75.48 	74.19 	68.69 	65.25 	65.50 	58.61 	58.40 	53.50 	: 	40.77 	: 	: 
PC_HH,HU32	88.17 	88.04 	85.49 	82.88 	77.10 	76.46 	72.15 	67.81 	65.98 	62.01 	58.64 	54.35 	49.80 	: 	38.98 	: 	: 
PC_HH,HU33	87.11 	86.72 	82.92 	82.13 	78.34 	76.48 	71.58 	68.28 	66.96 	62.61 	62.53 	57.53 	52.86 	: 	42.48 	: 	: 
PC_HH,IE	93.66 	97.50 b	91.82 	90.59 	89.11 	88.37 	86.91 	84.86 	82.17 	82.39 	81.09 	78.12 	71.69 	66.67 	63.05 	57.27 	49.95 
PC_HH,IE0	93.66 	97.50 b	91.82 	90.59 	89.11 	88.37 	86.91 	84.86 	82.17 	82.39 	81.09 	78.12 	71.69 	66.67 	63.05 	: 	: 
PC_HH,IE01	: 	: 	: 	: 	: 	83.57 	83.41 	81.75 	77.18 	78.59 	77.18 	73.42 	64.83 	59.93 	53.92 	: 	: 
PC_HH,IE02	: 	: 	: 	: 	: 	90.10 	88.16 	85.98 	83.99 	83.81 	82.57 	79.89 	74.28 	69.22 	66.39 	: 	: 
PC_HH,IE04	91.68 	98.62 b	94.12 	85.80 	81.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,IE05	91.25 	97.35 b	89.49 	90.10 	88.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,IE06	95.74 	97.18 b	92.58 	92.79 	92.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,IS	: 	98.36 	98.48 	97.70 	99.18 	97.86 	: 	: 	96.48 	96.41 	94.60 	92.59 	92.04 	89.59 	87.73 	83.70 	83.02 
PC_HH,IS0	: 	98.36 	98.48 	97.70 	99.18 	97.86 	: 	: 	96.48 	96.41 	94.60 	92.59 	92.04 	89.59 	: 	: 	: 
PC_HH,IS00	: 	98.36 	98.48 	97.70 	99.18 	97.86 	: 	: 	: 	: 	: 	: 	: 	89.59 	: 	: 	: 
PC_HH,IT	91.45 	90.49 	88.10 	85.17 	84.34 	81.02 	78.51 	75.39 	72.61 	68.91 	62.92 	61.57 	58.97 	53.48 	46.93 	43.38 	40.01 
PC_HH,ITC	93.56 	92.20 	89.57 	87.04 	87.04 	83.72 	82.02 	77.39 	74.73 	69.95 	65.95 	64.36 	61.04 	54.71 	49.94 	46.87 	42.95 
PC_HH,ITC1	92.09 	90.90 	88.39 	84.64 	85.66 	82.12 	79.58 	75.48 	72.53 	66.55 	61.38 	61.65 	56.87 	52.11 	45.40 	42.28 	37.53 
PC_HH,ITC2	88.87 	94.08 	87.49 	86.26 	82.03 	76.16 	77.35 	77.01 	69.54 	68.27 	66.58 	63.75 	55.29 	53.51 	48.43 	41.49 	38.03 
PC_HH,ITC3	93.69 	92.20 	89.60 	85.90 	86.24 	84.04 	78.62 	76.26 	70.35 	66.24 	64.34 	57.70 	57.26 	48.61 	41.15 	38.53 	36.67 
PC_HH,ITC4	94.26 	92.75 	90.10 	88.29 	87.84 	84.48 	83.75 	78.45 	76.58 	72.14 	68.25 	66.69 	63.77 	57.08 	53.64 	50.68 	46.79 
PC_HH,ITF	87.93 	86.95 	82.87 	79.55 	78.18 	76.80 	72.13 	69.92 	66.75 	62.54 	56.17 	55.01 	53.44 	47.77 	40.09 	36.46 	33.31 
PC_HH,ITF1	89.37 	89.41 	86.67 	85.13 	82.80 	81.88 	79.42 	74.54 	72.52 	69.42 	59.38 	61.60 	62.09 	55.54 	45.76 	45.85 	38.58 
PC_HH,ITF2	91.13 	86.45 	81.25 	79.80 	75.24 	78.27 	74.00 	71.69 	67.57 	60.64 	57.53 	57.13 	50.49 	53.24 	49.32 	44.91 	39.91 
PC_HH,ITF3	89.27 	88.91 	84.94 	79.75 	78.25 	78.31 	71.86 	71.15 	66.34 	61.89 	56.22 	57.50 	53.20 	50.52 	41.47 	36.60 	32.28 
PC_HH,ITF4	87.84 	84.39 	81.82 	78.51 	78.44 	76.19 	71.69 	68.22 	67.85 	62.13 	56.67 	50.06 	51.07 	42.95 	35.85 	32.71 	32.29 
PC_HH,ITF5	86.43 	86.85 	80.79 	79.90 	78.60 	74.96 	71.97 	68.96 	63.72 	66.96 	51.11 	52.00 	53.07 	45.78 	45.20 	39.32 	41.05 
PC_HH,ITF6	83.22 	84.86 	77.38 	76.99 	74.74 	70.86 	68.63 	66.77 	62.58 	59.52 	54.07 	53.77 	53.42 	44.24 	37.89 	35.12 	31.30 
PC_HH,ITG	88.81 	86.58 	81.64 	79.94 	78.71 	76.36 	72.70 	69.17 	67.12 	61.87 	57.44 	55.00 	53.25 	47.93 	38.37 	35.78 	32.70 
PC_HH,ITG1	88.55 	84.79 	79.87 	77.97 	75.78 	75.19 	69.92 	67.16 	63.79 	58.89 	55.25 	52.38 	49.83 	45.52 	35.19 	32.28 	29.98 
PC_HH,ITG2	89.51 	91.56 	86.45 	85.40 	86.80 	79.64 	80.46 	74.79 	76.20 	70.28 	63.65 	62.44 	63.37 	54.79 	47.46 	46.15 	40.97 
PC_HH,ITH	92.99 	92.51 	92.01 	89.51 	87.90 	82.90 	81.50 	79.41 	77.12 	74.41 	65.94 	64.02 	61.12 	56.73 	50.97 	46.55 	42.99 
PC_HH,ITH1	92.98 	90.57 	92.24 	88.07 	87.40 	82.32 	79.17 	81.04 	79.61 	75.72 	70.29 	67.09 	59.82 	58.79 	55.34 	48.84 	42.43 
PC_HH,ITH2	97.16 	93.22 	93.42 	92.16 	88.94 	83.08 	81.66 	81.04 	77.00 	71.43 	68.24 	67.35 	62.87 	54.60 	49.03 	51.89 	44.04 
PC_HH,ITH3	93.19 	91.53 	91.45 	88.89 	86.77 	82.08 	81.57 	78.84 	75.04 	74.72 	64.70 	63.44 	61.09 	56.62 	48.39 	47.60 	43.05 
PC_HH,ITH4	92.66 	91.98 	93.23 	88.33 	84.76 	81.90 	80.72 	79.95 	77.77 	71.61 	65.04 	63.15 	62.00 	55.92 	52.31 	43.78 	41.31 
PC_HH,ITH5	92.37 	93.83 	92.07 	90.32 	89.87 	84.08 	81.91 	79.45 	78.88 	75.08 	66.75 	: 	: 	: 	: 	: 	: 
PC_HH,ITI	92.24 	92.10 	91.47 	87.31 	86.76 	82.45 	80.85 	78.00 	74.47 	72.70 	65.76 	65.74 	62.92 	57.57 	50.51 	46.98 	44.27 
PC_HH,ITI1	93.42 	91.96 	91.80 	86.52 	87.11 	82.54 	81.63 	76.03 	75.56 	72.65 	63.85 	66.30 	61.62 	56.55 	46.61 	47.17 	45.13 
PC_HH,ITI2	91.94 	91.23 	87.04 	86.26 	84.55 	80.05 	79.40 	78.42 	71.96 	73.06 	63.17 	61.38 	59.91 	55.44 	50.18 	45.89 	42.71 
PC_HH,ITI3	92.83 	89.06 	90.64 	87.02 	88.23 	84.98 	79.57 	79.21 	74.51 	73.32 	66.94 	: 	: 	: 	: 	: 	: 
PC_HH,ITI4	91.40 	93.06 	92.09 	88.01 	86.51 	82.14 	80.89 	78.86 	74.14 	72.52 	67.06 	65.84 	64.91 	58.08 	53.67 	47.20 	44.21 
PC_HH,LT	87.71 	86.55 	82.13 	81.52 	78.38 	74.97 	71.75 	68.26 	65.97 	64.73 	60.12 	60.14 	60.58 	60.00 	50.94 	44.36 	34.51 
PC_HH,LT0	87.71 	86.55 	82.13 	81.52 	78.38 	74.97 	71.75 	68.26 	65.97 	64.73 	60.12 	60.14 	60.58 	60.00 	: 	: 	: 
PC_HH,LT00	: 	: 	: 	: 	: 	74.97 	71.75 	68.26 	65.97 	64.73 	60.12 	60.14 	60.58 	60.00 	: 	: 	: 
PC_HH,LT01	89.49 	88.03 	86.59 	83.39 	81.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,LT02	86.96 	85.94 	80.34 	80.77 	77.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,LU	97.64 	99.18 	93.57 	95.20 	92.99 b	97.23 	97.04 	96.78 	95.56 	94.46 	93.08 	90.62 	90.28 	87.20 	80.09 	74.55 	70.18 
PC_HH,LU0	97.64 	99.18 	93.57 	95.20 	92.99 b	97.23 	97.04 	96.78 	95.56 	94.46 	93.08 	90.62 	90.28 	87.20 	80.09 	: 	: 
PC_HH,LU00	97.64 	99.18 	93.57 	95.20 	92.99 b	97.23 	97.04 	96.78 	95.56 	94.46 	93.08 	90.62 	90.28 	87.20 	80.09 	: 	: 
PC_HH,LV	91.39 	91.15 	89.73 	85.45 	81.58 	78.61 	77.34 b	76.00 	73.38 	71.60 	68.68 	63.64 	59.77 	58.02 	52.81 	50.53 	42.20 
PC_HH,LV0	91.39 	91.15 	89.73 	85.45 	81.58 	78.61 	77.34 b	76.00 	73.38 	71.60 	68.68 	63.64 	59.77 	58.02 	: 	: 	: 
PC_HH,LV00	91.39 	91.15 	89.73 	85.45 	81.58 	78.61 	77.34 b	76.00 	73.38 	71.60 	68.68 	63.64 	59.77 	: 	: 	: 	: 
PC_HH,ME	80.96 	80.76 	80.26 	74.25 	72.18 	70.57 	: 	: 	: 	: 	54.99 	: 	: 	: 	: 	: 	: 
PC_HH,MK	: 	83.74 	79.39 	81.62 	79.32 	73.58 	75.29 	69.38 	68.34 	65.08 	58.30 	: 	46.10 	41.79 	29.36 	: 	13.90 
PC_HH,MK0	: 	83.74 	79.39 	81.62 	79.32 	73.58 	75.29 	69.38 	68.34 	65.08 	58.30 	: 	46.10 	41.79 	: 	: 	: 
PC_HH,MK00	: 	: 	79.39 	81.62 	79.32 	73.58 	75.29 	69.38 	68.34 	65.08 	58.30 	: 	46.10 	41.79 	: 	: 	: 
PC_HH,MT	93.39 	90.54 	90.36 	86.08 	84.14 	84.77 	81.41 	81.00 	80.32 	78.04 	76.70 	75.29 	70.45 	64.45 	59.00 	53.92 	52.78 
PC_HH,MT0	93.39 	90.54 	90.36 	86.08 	84.14 	84.77 	81.41 	81.00 	80.32 	78.04 	76.70 	75.29 	70.45 	64.45 	: 	: 	: 
PC_HH,MT00	93.39 	90.54 	90.36 	86.08 	84.14 	84.77 	81.41 	81.00 	80.32 	78.04 	76.70 	75.29 	70.45 	64.45 	: 	: 	: 
PC_HH,NL	98.28 	98.56 	96.95 	98.41 	98.00 	98.23 	96.66 	95.97 	95.78 	94.63 	93.55 	93.64 	90.89 	89.70 	86.08 	82.89 	80.26 
PC_HH,NL1	98.18 	97.68 	96.65 	96.30 	97.36 	98.87 	96.71 	94.92 	95.38 	93.16 	94.25 	94.67 	87.58 	88.06 	84.39 	82.23 	76.39 
PC_HH,NL11	98.62 	98.58 	96.04 	95.56 	99.06 	100.00 	98.54 	96.79 	94.28 	94.52 	93.23 	93.87 	88.26 	81.93 	89.39 	84.24 	81.38 
PC_HH,NL12	96.42 	96.91 	96.40 	97.17 	95.78 	97.65 	95.35 	93.58 	97.01 	90.68 	93.94 	93.75 	84.28 	89.00 	84.53 	80.96 	72.76 
PC_HH,NL13	100.00 	97.51 	97.85 	96.16 	96.89 	99.09 	95.98 	94.29 	94.81 	94.50 	96.17 	97.06 	91.33 	94.58 	78.73 	81.52 	75.14 
PC_HH,NL2	98.10 	98.87 	97.48 	98.39 	98.08 	96.58 	97.37 	96.94 	96.78 	94.92 	94.41 	95.00 	90.86 	90.62 	87.12 	82.98 	82.19 
PC_HH,NL21	99.16 	99.39 	97.48 	96.68 	98.33 	95.99 	96.96 	98.51 	97.36 	95.16 	94.54 	97.70 	95.29 	91.11 	87.90 	82.19 	82.49 
PC_HH,NL22	98.18 	98.73 	97.22 	99.18 	99.08 	96.23 	97.12 	96.19 	97.52 	94.43 	93.74 	92.88 	87.27 	89.38 	86.59 	82.97 	80.77 
PC_HH,NL23	94.89 	98.23 	98.74 	99.22 	93.01 	100.00 	100.00 	96.32 	91.02 	96.79 	97.60 	98.21 	96.22 	95.34 	87.86 	85.29 	90.52 
PC_HH,NL3	98.52 	98.67 	96.91 	98.66 	98.13 	98.66 	96.55 	95.78 	95.54 	95.08 	93.14 	93.10 	92.21 	90.56 	87.69 	84.31 	81.51 
PC_HH,NL31	99.16 	99.48 	96.93 	98.29 	96.52 	98.01 	97.28 	96.86 	96.68 	98.30 	91.49 	90.96 	92.54 	94.07 	88.64 	88.19 	88.12 
PC_HH,NL32	98.93 	98.50 	97.88 	99.05 	98.48 	99.05 	96.26 	95.89 	95.20 	96.60 	94.53 	94.65 	93.91 	91.50 	89.66 	84.54 	81.30 
PC_HH,NL33	98.04 	98.39 	96.36 	98.46 	98.51 	98.69 	96.84 	95.54 	95.10 	93.14 	92.38 	93.07 	91.04 	89.10 	86.80 	83.09 	80.64 
PC_HH,NL34	97.79 	100.00 	94.62 	98.74 	97.11 	97.33 	93.23 	93.51 	99.01 	91.52 	95.50 	88.34 	88.77 	85.88 	77.21 	82.44 	71.20 
PC_HH,NL4	97.90 	98.38 	96.67 	98.82 	97.92 	98.56 	96.15 	95.96 	95.57 	94.02 	93.34 	93.09 	89.55 	87.66 	82.27 	79.90 	77.49 
PC_HH,NL41	98.26 	98.50 	96.93 	98.66 	98.39 	98.18 	96.67 	95.67 	95.41 	93.01 	93.56 	92.25 	90.50 	88.37 	83.41 	82.91 	78.57 
PC_HH,NL42	97.11 	98.12 	96.07 	99.19 	96.87 	99.35 	94.99 	96.60 	95.89 	96.29 	92.87 	94.79 	87.61 	86.10 	79.88 	73.54 	75.19 
PC_HH,NO	99.01 	98.93 	96.20 	98.38 	96.01 	96.65 	97.05 	96.60 	93.07 	94.29 	92.69 	92.24 	89.79 	85.56 	83.97 	77.59 	68.79 
PC_HH,NO0	99.01 	98.93 	96.20 	98.38 	96.01 	96.65 	97.05 	96.60 	93.07 	94.29 	92.69 	92.24 	89.79 	85.56 	: 	: 	: 
PC_HH,NO01	: 	: 	99.13 	99.38 	96.06 	97.75 	96.64 	96.61 	98.29 	96.19 	94.48 	93.15 	91.91 	91.91 	87.20 	80.44 	67.50 
PC_HH,NO02	100.00 	100.00 	81.63 	100.00 	99.38 	97.06 	93.71 	99.21 	85.42 	95.28 	87.42 	87.48 	87.98 	78.58 	84.36 	60.94 	69.41 
PC_HH,NO03	: 	: 	94.93 	98.65 	94.75 	98.06 	97.31 	98.04 	93.04 	92.99 	92.18 	90.34 	89.04 	85.02 	81.08 	73.69 	65.90 
PC_HH,NO04	: 	: 	95.51 	100.00 	100.00 	97.32 	98.76 	93.10 	89.12 	89.50 	95.33 	88.95 	86.51 	86.18 	77.73 	85.91 	69.52 
PC_HH,NO05	: 	: 	96.22 	96.89 	95.98 	96.15 	100.00 	98.22 	94.85 	95.09 	92.19 	93.99 	94.62 	77.21 	86.89 	82.91 	70.65 
PC_HH,NO06	96.90 	100.00 	100.00 	94.82 	94.26 	88.81 	100.00 	90.63 	85.65 	98.32 	90.88 	95.80 	86.29 	90.87 	85.32 	72.49 	74.97 
PC_HH,NO07	98.57 	99.73 	100.00 	98.44 	90.90 	98.61 	91.79 	99.19 	95.50 	92.72 	92.84 	94.44 	87.28 	85.52 	83.43 	75.87 	66.70 
PC_HH,PL	93.33 	92.42 	90.38 	86.75 	84.19 	81.88 	80.45 	75.78 	74.76 	71.90 	70.49 	66.64 	63.44 	58.59 	47.60 	40.98 	35.94 
PC_HH,PL1	: 	: 	: 	: 	: 	83.69 	82.41 	76.44 	75.83 	72.77 	72.80 	67.55 	65.26 	57.45 	47.15 	41.43 	: 
PC_HH,PL2	93.57 	92.99 	90.50 	87.77 	83.28 	81.35 	80.03 	74.26 	72.78 	72.35 	71.67 	66.36 	61.68 	59.57 	49.16 	40.86 	: 
PC_HH,PL3	: 	: 	: 	: 	: 	79.21 	77.91 	77.25 	74.35 	71.70 	70.70 	63.76 	58.02 	54.78 	44.28 	36.80 	: 
PC_HH,PL4	92.30 	92.82 	90.64 	86.76 	85.60 	81.83 	80.88 	78.30 	74.20 	72.43 	70.24 	68.81 	66.57 	63.04 	50.09 	42.08 	: 
PC_HH,PL5	93.33 	93.42 	90.63 	88.32 	81.69 	80.64 	81.08 	75.03 	74.94 	66.79 	65.77 	68.58 	64.93 	58.98 	48.51 	41.36 	: 
PC_HH,PL6	94.29 	92.04 	90.72 	86.68 	85.74 	83.71 	80.04 	73.51 	76.74 	73.23 	68.57 	65.25 	64.95 	58.92 	47.04 	43.59 	: 
PC_HH,PL7	90.72 	88.18 	88.94 	85.39 	81.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,PL8	92.18 	90.91 	87.80 	84.46 	81.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,PL9	95.87 	95.25 	92.46 	87.41 	87.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,PT	88.15 	87.34 	84.49 	80.94 	79.43 	76.94 	74.05 	70.23 	64.87 	62.34 	61.02 	57.97 	53.73 	47.89 	46.04 	39.61 	35.15 
PC_HH,PT1	87.96 	87.18 	84.33 	80.70 	79.19 	76.67 	73.80 	70.01 	64.70 	62.21 	60.97 	58.01 	53.72 	47.88 	46.18 	: 	: 
PC_HH,PT11	85.29 	85.02 	81.79 	77.92 	76.67 	74.37 	71.53 	66.88 	63.18 	59.51 	57.95 	55.06 	51.25 	47.27 	45.45 	32.66 	: 
PC_HH,PT15	89.62 	89.18 	85.75 	80.29 	76.53 	73.17 	72.81 	69.12 	65.12 	61.79 	60.71 	58.34 	55.54 	50.56 	46.33 	42.00 	: 
PC_HH,PT16	84.43 	83.64 	80.35 	76.74 	75.09 	72.44 	69.62 	65.86 	59.15 	56.07 	55.22 	52.54 	49.38 	41.40 	39.58 	41.81 	: 
PC_HH,PT17	93.88 	93.22 	90.93 	88.73 	87.65 	85.46 	82.37 	79.24 	73.08 	72.56 	71.91 	67.96 	62.09 	55.37 	54.10 	46.39 	: 
PC_HH,PT18	86.56 	82.07 	80.55 	73.87 	70.57 	66.75 	63.14 	61.24 	54.37 	51.69 	48.78 	48.80 	43.69 	38.52 	38.02 	37.08 	: 
PC_HH,PT2	93.52 	90.85 	87.81 	85.77 	86.48 	84.20 	79.87 	75.87 	70.19 	66.29 	64.07 	59.59 	54.05 	46.74 	41.06 	: 	: 
PC_HH,PT20	93.52 	90.85 	87.81 	85.77 	86.48 	84.20 	79.87 	75.87 	70.19 	66.29 	64.07 	59.59 	54.05 	46.74 	41.06 	39.89 	: 
PC_HH,PT3	90.84 	90.52 	87.97 	86.05 	82.71 	81.35 	78.82 	73.97 	67.12 	64.09 	60.54 	54.96 	54.00 	49.71 	44.68 	: 	: 
PC_HH,PT30	90.84 	90.52 	87.97 	86.05 	82.71 	81.35 	78.82 	73.97 	67.12 	64.09 	60.54 	54.96 	54.00 	49.71 	44.68 	40.86 	: 
PC_HH,RO	89.41 	88.74 	86.24 	83.61 	80.89 	76.45 	72.40 	67.71 	60.54 b	58.07 	53.77 	47.44 	42.18 	37.95 	29.60 	22.25 	14.25 
PC_HH,RO1	91.06 	90.01 	87.67 	85.18 	82.94 	76.80 	72.65 	70.06 	59.46 b	57.59 	51.95 	45.71 	41.28 	34.72 	28.19 	: 	: 
PC_HH,RO11	91.23 	90.10 	89.78 	86.58 	87.39 	80.82 	76.06 	71.96 	63.47 b	61.62 	56.77 	46.96 	42.22 	: 	30.29 	: 	: 
PC_HH,RO12	90.87 	89.91 	85.33 	83.63 	77.92 	72.34 	68.93 	67.98 	55.06 b	53.35 	46.83 	44.40 	40.29 	: 	25.97 	: 	: 
PC_HH,RO2	86.02 	86.41 	81.26 	79.45 	73.48 	70.72 	66.78 	60.47 	56.19 b	53.43 	48.69 	41.09 	37.41 	35.61 	26.51 	: 	: 
PC_HH,RO21	85.15 	87.42 	81.82 	79.97 	74.10 	69.65 	65.02 	60.77 	54.85 b	50.65 	45.28 	39.17 	36.18 	: 	23.10 	: 	: 
PC_HH,RO22	87.15 	85.09 	80.53 	78.80 	72.69 	72.06 	68.95 	60.09 	57.88 b	57.01 	52.95 	43.53 	38.95 	: 	30.81 	: 	: 
PC_HH,RO3	91.58 	89.80 	88.93 	84.84 	85.00 	78.91 	76.73 	71.21 	66.51 b	63.84 	60.55 	55.91 	49.57 	44.16 	34.85 	: 	: 
PC_HH,RO31	86.92 	86.26 	82.91 	79.63 	75.94 	71.35 	66.31 	61.99 	52.14 b	52.12 	49.62 	44.58 	36.17 	: 	23.78 	: 	: 
PC_HH,RO32	96.71 	93.78 	95.89 	90.93 	95.59 	88.03 	89.35 	82.26 	84.05 b	79.01 	74.77 	70.51 	67.17 	: 	49.74 	: 	: 
PC_HH,RO4	89.13 	89.06 	87.99 	86.02 	83.49 	80.99 	74.41 	70.53 	60.01 b	57.94 	54.76 	47.88 	40.67 	37.30 	29.00 	: 	: 
PC_HH,RO41	87.02 	86.56 	84.89 	83.96 	81.10 	76.59 	74.41 	65.49 	52.93 b	53.36 	48.89 	42.79 	34.68 	: 	27.41 	: 	: 
PC_HH,RO42	91.35 	91.68 	91.22 	88.17 	85.96 	85.56 	74.41 	76.09 	67.77 b	62.98 	61.28 	53.47 	47.38 	: 	30.79 	: 	: 
PC_HH,RS	83.24 	81.51 	80.95 	80.14 	72.91 	68.03 	: 	63.76 	: 	: 	: 	: 	: 	36.66 	: 	26.27 	: 
PC_HH,RS1	87.15 	84.82 	84.06 	85.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,RS11	93.04 	92.88 	94.07 	89.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,RS12	81.88 	77.76 	75.26 	81.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,RS2	78.92 	77.81 	77.41 	74.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,RS21	80.72 	79.19 	77.51 	75.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,RS22	76.62 	76.07 	77.29 	72.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,SE	94.33 	93.23 	93.94 	96.06 	93.42 	94.73 	93.80 b	91.03 	89.57 	92.59 	91.69 	90.64 	88.30 	85.98 	84.44 	78.55 	77.39 
PC_HH,SE1	95.16 	95.62 	95.73 	95.10 	94.51 	95.73 	95.37 b	90.97 	91.51 	93.12 	93.01 	92.52 	89.67 	87.67 	85.46 	: 	: 
