nuts3_code,Year,Canton,Population on 1 January,Population on 31 December,POP
CH022,2010,Fribourg / Freiburg,"273,159.00","277,824.00",275.49
CH023,2010,Solothurn,"252,748.00","254,758.00",253.75
CH031,2010,Basel-Stadt,"187,898.00","189,431.00",188.66
CH032,2010,Basel-Landschaft,"272,815.00","273,887.00",273.35
CH052,2010,Schaffhausen,"75,657.00","76,345.00",76
CH053,2010,Appenzell Ausserrhoden,"53,043.00","52,938.00",52.99
CH054,2010,Appenzell Innerrhoden,"15,681.00","15,655.00",15.67
CH055,2010,St. Gallen,"474,676.00","477,746.00",476.21
CH056,2010,Graubünden / Grigioni / Grischun,"191,861.00","192,702.00",192.28
CH033,2010,Aargau,"600,040.00","608,299.00",604.17
CH057,2010,Thurgau,"244,805.00","247,781.00",246.29
CH070,2010,Ticino,"335,720.00","339,946.00",337.83
CH011,2010,Vaud,"701,526.00","711,818.00",706.67
CH012,2010,Valais / Wallis,"307,392.00","311,985.00",309.69
CH024,2010,Neuchâtel,"171,647.00","171,904.00",171.78
CH013,2010,Genève,"453,292.00","458,559.00",455.93
CH025,2010,Jura,"70,134.00","70,164.00",70.15
CH040,2011,Zürich,"1,373,068.00","1,392,396.00","1,382.73"
CH021,2011,Bern / Berne,"979,754.00","985,000.00",982.38
CH061,2011,Luzern,"377,610.00","381,966.00",379.79
CH062,2011,Uri,"35,422.00","35,382.00",35.4
CH063,2011,Schwyz,"146,730.00","147,904.00",147.32
CH064,2011,Obwalden,"35,585.00","35,885.00",35.74
CH065,2011,Nidwalden,"41,024.00","41,311.00",41.17
CH051,2011,Glarus,"38,608.00","39,217.00",38.91
CH066,2011,Zug,"113,105.00","115,104.00",114.1
CH022,2011,Fribourg / Freiburg,"278,541.00","284,714.00",281.63
CH023,2011,Solothurn,"255,284.00","256,990.00",256.14
CH031,2011,Basel-Stadt,"184,950.00","186,255.00",185.6
CH032,2011,Basel-Landschaft,"274,404.00","275,360.00",274.88
CH052,2011,Schaffhausen,"76,356.00","77,139.00",76.75
CH053,2011,Appenzell Ausserrhoden,"53,017.00","53,313.00",53.17
CH054,2011,Appenzell Innerrhoden,"15,688.00","15,743.00",15.72
CH055,2011,St. Gallen,"478,907.00","483,156.00",481.03
CH056,2011,Graubünden / Grigioni / Grischun,"192,621.00","193,388.00",193
CH033,2011,Aargau,"611,466.00","618,298.00",614.88
CH057,2011,Thurgau,"248,444.00","251,973.00",250.21
CH070,2011,Ticino,"333,753.00","336,943.00",335.35
CH011,2011,Vaud,"713,281.00","725,944.00",719.61
CH012,2011,Valais / Wallis,"312,684.00","317,022.00",314.85
CH024,2011,Neuchâtel,"172,085.00","173,183.00",172.63
CH013,2011,Genève,"457,715.00","460,534.00",459.12
CH025,2011,Jura,"70,032.00","70,542.00",70.29
CH040,2012,Zürich,"1,392,396.00","1,408,575.00","1,400.49"
CH021,2012,Bern / Berne,"985,000.00","992,567.00",988.78
CH061,2012,Luzern,"381,966.00","386,082.00",384.02
CH062,2012,Uri,"35,382.00","35,693.00",35.54
CH063,2012,Schwyz,"147,904.00","149,830.00",148.87
CH064,2012,Obwalden,"35,885.00","36,115.00",36
CH065,2012,Nidwalden,"41,311.00","41,584.00",41.45
CH051,2012,Glarus,"39,217.00","39,369.00",39.29
CH066,2012,Zug,"115,104.00","116,575.00",115.84
CH022,2012,Fribourg / Freiburg,"284,714.00","291,445.00",288.08
CH023,2012,Solothurn,"256,990.00","259,283.00",258.14
CH031,2012,Basel-Stadt,"186,255.00","187,425.00",186.84
CH032,2012,Basel-Landschaft,"275,360.00","276,537.00",275.95
CH052,2012,Schaffhausen,"77,139.00","77,955.00",77.55
CH053,2012,Appenzell Ausserrhoden,"53,313.00","53,438.00",53.38
CH054,2012,Appenzell Innerrhoden,"15,743.00","15,717.00",15.73
CH055,2012,St. Gallen,"483,156.00","487,060.00",485.11
CH056,2012,Graubünden / Grigioni / Grischun,"193,388.00","193,920.00",193.65
CH033,2012,Aargau,"618,298.00","627,340.00",622.82
CH057,2012,Thurgau,"251,973.00","256,213.00",254.09
CH070,2012,Ticino,"336,943.00","341,652.00",339.3
CH011,2012,Vaud,"725,944.00","734,356.00",730.15
CH012,2012,Valais / Wallis,"317,022.00","321,732.00",319.38
CH024,2012,Neuchâtel,"173,183.00","174,554.00",173.87
CH013,2012,Genève,"460,534.00","463,101.00",461.82
CH025,2012,Jura,"70,542.00","70,942.00",70.74
CH040,2013,Zürich,"1,408,575.00","1,425,538.00","1,417.06"
CH021,2013,Bern / Berne,"992,567.00","1,001,232.00",996.9
CH061,2013,Luzern,"386,082.00","390,349.00",388.22
CH062,2013,Uri,"35,693.00","35,865.00",35.78
CH063,2013,Schwyz,"149,830.00","151,396.00",150.61
CH064,2013,Obwalden,"36,115.00","36,507.00",36.31
CH065,2013,Nidwalden,"41,584.00","41,888.00",41.74
CH051,2013,Glarus,"39,369.00","39,593.00",39.48
CH066,2013,Zug,"116,575.00","118,118.00",117.35
CH022,2013,Fribourg / Freiburg,"291,445.00","297,671.00",294.56
CH023,2013,Solothurn,"259,283.00","261,437.00",260.36
CH031,2013,Basel-Stadt,"187,425.00","189,335.00",188.38
CH032,2013,Basel-Landschaft,"276,537.00","278,656.00",277.6
CH052,2013,Schaffhausen,"77,955.00","78,783.00",78.37
CH053,2013,Appenzell Ausserrhoden,"53,438.00","53,691.00",53.56
CH054,2013,Appenzell Innerrhoden,"15,717.00","15,778.00",15.75
CH055,2013,St. Gallen,"487,060.00","491,699.00",489.38
CH056,2013,Graubünden / Grigioni / Grischun,"193,920.00","194,959.00",194.44
CH033,2013,Aargau,"627,340.00","636,362.00",631.85
CH057,2013,Thurgau,"256,213.00","260,278.00",258.25
CH070,2013,Ticino,"341,652.00","346,539.00",344.1
CH011,2013,Vaud,"734,356.00","749,373.00",741.86
CH012,2013,Valais / Wallis,"321,732.00","327,011.00",324.37
CH024,2013,Neuchâtel,"174,554.00","176,402.00",175.48
CH013,2013,Genève,"463,101.00","469,433.00",466.27
CH025,2013,Jura,"70,942.00","71,738.00",71.34
CH040,2014,Zürich,"1,425,538.00","1,446,354.00","1,435.95"
CH021,2014,Bern / Berne,"1,001,232.00","1,009,370.00","1,005.30"
CH061,2014,Luzern,"390,349.00","394,604.00",392.48
CH062,2014,Uri,"35,865.00","36,008.00",35.94
CH063,2014,Schwyz,"151,396.00","152,759.00",152.08
CH064,2014,Obwalden,"36,507.00","36,834.00",36.67
CH065,2014,Nidwalden,"41,888.00","42,080.00",41.98
CH051,2014,Glarus,"39,593.00","39,794.00",39.69
CH066,2014,Zug,"118,118.00","120,089.00",119.1
CH022,2014,Fribourg / Freiburg,"297,671.00","303,425.00",300.55
CH023,2014,Solothurn,"261,437.00","263,719.00",262.58
CH031,2014,Basel-Stadt,"189,335.00","190,580.00",189.96
CH032,2014,Basel-Landschaft,"278,656.00","281,301.00",279.98
CH052,2014,Schaffhausen,"78,783.00","79,417.00",79.1
CH053,2014,Appenzell Ausserrhoden,"53,691.00","54,064.00",53.88
CH054,2014,Appenzell Innerrhoden,"15,778.00","15,854.00",15.82
CH055,2014,St. Gallen,"491,699.00","495,824.00",493.76
CH056,2014,Graubünden / Grigioni / Grischun,"194,959.00","195,886.00",195.42
CH033,2014,Aargau,"636,362.00","645,277.00",640.82
